Id,eigencentrality,betweenesscentrality
White Tiger (Angela del Toro),0.36333,599.089697
Ant-Man (Scott Lang),0.363298,590.530824
Mister Fantastic,0.356455,589.784521
Red Guardian,0.356095,583.837399
Doctor Voodoo,0.355112,580.68682
Synapse,0.355112,580.235037
Vision,0.355112,574.618419
Machine Man,0.354351,566.798649
Ares,0.353751,566.798649
Nocturne,0.35216,566.282757
Skaar,0.352006,551.462115
Mantis,0.351924,548.968451
Red Hulk,0.351312,548.968451
Power Man,0.351206,548.968451
Leech,0.350588,548.968451
Noh-Varr,0.350115,536.277457
Miss America,0.349419,531.524147
Whizzer,0.349419,531.524147
Jocasta,0.349032,529.999538
Stature,0.349032,529.999538
Hulkling,0.348617,520.409237
Pod,0.348617,518.371789
Squirrel Girl,0.348617,515.507548
Wiccan,0.348617,502.655483
Amadeus Cho,0.348513,485.602517
Ex Nihilio,0.347932,485.602517
Crystal,0.347134,460.006919
Norman Osborn,0.345628,448.674571
3D Man,0.345395,446.267639
Abyss,0.345395,444.612296
Agent 13,0.345395,442.256358
Avenger X,0.345395,434.584273
Batwing,0.345395,422.756737
Blade,0.345395,419.304067
Blue Marvel,0.345395,406.76056
Butterball,0.345395,392.790301
Constance Molina,0.345395,392.790301
Dave Griffith,0.345395,392.790301
Demolition Man,0.345395,392.790301
Doorman,0.345395,392.790301
Elsa Bloodstone,0.345395,380.408654
Enigma,0.345395,378.321703
Finesse,0.345395,371.851536
Fiona,0.345395,370.601378
Firebird,0.345395,370.601378
Gilgamesh,0.345395,360.542117
Good Silva,0.345395,360.542117
Hollow,0.345395,360.542117
Hybrid,0.345395,360.542117
Jack of Hearts,0.345395,360.542117
Jessica Jones,0.345395,360.542117
Juston Seyfert,0.345395,359.652931
Kaluu,0.345395,356.04277
Lightspeed,0.345395,353.375308
Living Lightning,0.345395,352.458367
Machine Teen,0.345395,342.681246
Madame Web,0.345395,342.681246
Manifold,0.345395,327.226279
Marvel Boy,0.345395,320.727672
Mettle,0.345395,320.727672
Monica Chang,0.345395,320.727672
Mr. Immortal,0.345395,320.727672
Nightmask,0.345395,319.681707
Patriot,0.345395,315.615653
Prince of Orphans,0.345395,308.169871
Protector,0.345395,305.961789
Pulsar,0.345395,294.724051
Reptil,0.345395,294.724051
Rocket Racer,0.345395,294.724051
Ruby Neal,0.345395,294.724051
Sersi,0.345395,283.613682
Shang-Chi,0.345395,276.91843
Silverclaw,0.345395,276.91843
Singularity,0.345395,273.998867
Smasher,0.345395,267.564257
Soraya Khorasani,0.345395,253.90828
Spectrum,0.345395,233.60737
Speed,0.345395,233.60737
Spider-Girl,0.345395,227.095585
Star Brand,0.345395,227.095585
Starfox,0.345395,227.095585
Striker,0.345395,225.706568
Swordsman,0.345395,225.043167
Triathlon,0.345395,225.043167
Two-Gun Kid,0.345395,214.274958
Validator,0.345395,208.162431
Veil,0.345395,208.162431
Victor Mancha,0.345395,206.574812
Wasp (Nadia Pym),0.345395,205.932213
Wiz Kid,0.345395,205.932213
Exodus,0.344488,205.932213
Avalanche,0.340908,205.932213
Dark Beast,0.340294,202.057134
Lorelei,0.336576,194.967167
Mammomax,0.336576,194.967167
Omega Red,0.336576,194.967167
Peeper,0.336576,194.967167
Random,0.334135,192.389633
Shatterstar,0.334058,186.764167
Strong Guy,0.327794,183.786558
Mikhail Rasputin,0.327567,179.792501
Blackout,0.327126,174.336583
Ant-Man (Eric O'Grady),0.325468,172.326913
Franklin Richards,0.323394,164.900605
Justice,0.318524,163.212669
Deathlok,0.316969,163.212669
Beautiful Dreamer,0.311484,143.012891
Erg,0.311484,143.012891
Fever Pitch,0.311484,143.012891
Litterbug,0.311484,143.012891
Sack,0.311484,143.012891
Kylun,0.308181,143.012891
Micromax,0.308181,143.012891
Jackhammer,0.30781,143.012891
Man-Killer,0.30781,143.012891
Siryn,0.306673,143.012891
Living Monolith,0.306078,143.012891
Arclight,0.305728,143.012891
Prism,0.305728,143.012891
Scalphunter,0.305728,143.012891
Scrambler,0.305728,143.012891
Andrea von Strucker,0.303952,143.012891
Andreas von Strucker,0.303952,143.012891
Batroc,0.303952,141.91625
Crossbones,0.303952,138.898864
Ogre,0.303952,124.301337
Amelia Voght,0.303726,124.301337
Tempo,0.303726,122.974119
Diamond Lil,0.299176,103.182802
Jack Norriss,0.295273,103.182802
Empath,0.295212,103.182802
Black Box,0.289995,91.220083
Catiana,0.289995,91.220083
Collective Man,0.289995,91.220083
Dragoness,0.289995,87.341539
Gamesmaster,0.289995,82.949428
Gateway,0.289995,67.914395
Icarus,0.289995,67.914395
"James Braddock, Jr",0.289995,65.979201
Jazz,0.289995,63.315403
Johnny Dee,0.289995,62.409174
Kiden,0.289995,60.581407
Lila Cheney,0.289995,54.654626
Matt Landru,0.289995,51.423493
Meld,0.289995,50.890425
Mister M,0.289995,49.869297
Molly Hayes,0.289995,36.175849
Neurotap,0.289995,36.175849
Outlaw,0.289995,36.175849
Purple Woman,0.289995,36.175849
Quill,0.289995,36.175849
Rhapsody,0.289995,36.175849
Sabra,0.289995,36.175849
Tree Man,0.289995,36.175849
Ursa Major,0.289995,32.459874
Vange,0.289995,32.459874
Wallflower,0.289995,32.459874
Wither,0.289995,29.490234
Wolf Cub,0.289995,29.490234
M.O.D.O.K.,0.280476,13.179245
Grim Reaper,0.280214,13.179245
Moonstar,0.280102,13.179245
Psi-Borg,0.278848,13.179245
Silverfox,0.278848,13.179245
Gorgon,0.265996,8.213613
Veranke,0.264152,5.045062
Chimera,0.262714,4.720765
Arthur Perry,0.261273,0
Shocker,0.260622,0
Sharon Carter,0.252698,0
Chameleon,0.251453,0
Witchfire,0.247739,0
Mudbug,0.247414,0
Snot,0.247414,0
Diamondback,0.245307,0
Hit-Monkey,0.243404,0
Scott Adsit,0.243404,0
Jack Flag,0.242154,0
Sin,0.240492,0
"Richard Jones (A-Bomb, Whisperer)",0.239197,0
Man-Thing,0.237459,0
Blur,0.236312,0
Abigail Brand,0.233375,0
Adam,0.233375,0
Agent 22,0.233375,0
Agent 33,0.233375,0
Agent Bradley,0.233375,0
Agent Carstairs,0.233375,0
Agent Cheesecake,0.233375,0
Agent Coletti,0.233375,0
Agent Crimson,0.233375,0
Agent Davis,0.233375,0
Agent Deems,0.233375,0
Agent Farrell,0.233375,0
Agent Fitz,0.233375,0
Agent Goldman,0.233375,0
